net.sf.kxml:kxml2:2.2.2 is dependency of org.apache.felix:org.apache.felix.metatype:1.0.0, indexing...
net.sf.kxml:kxml2:2.2.2 has dependencies: xmlpull:xmlpull:1.1.3.1
net.sf.kxml:kxml2:2.2.2 indexed.
net.sf.kxml:kxml2:2.2.2 is dependency of org.apache.felix:org.apache.felix.metatype:1.0.2, indexing...
net.sf.kxml:kxml2:2.2.2 is dependency of org.apache.felix:org.apache.felix.metatype:1.0.4, indexing...
net.sf.kxml:kxml2:2.2.2 is dependency of org.apache.felix:org.apache.felix.metatype:1.0.6, indexing...
net.sf.kxml:kxml2:2.2.2 is dependency of org.apache.felix:org.apache.felix.metatype:1.0.8, indexing...
net.sf.kxml:kxml2:2.2.2 is dependency of org.apache.felix:org.apache.felix.metatype:1.0.10, indexing...
net.sf.kxml:kxml2:2.2.2 is dependency of org.apache.felix:org.apache.felix.metatype:1.0.12, indexing...
net.sf.kxml:kxml2:2.2.2 is dependency of org.apache.felix:org.apache.felix.metatype:1.1.0, indexing...
net.sf.kxml:kxml2:2.2.2 is dependency of org.apache.felix:org.apache.felix.metatype:1.1.2, indexing...
net.sf.kxml:kxml2:2.2.2 is dependency of org.apache.felix:org.apache.felix.metatype:1.1.4, indexing...
net.sf.kxml:kxml2:2.2.2 is dependency of org.apache.felix:org.apache.felix.metatype:1.1.6, indexing...
net.sf.kxml:kxml2:2.2.2 is dependency of org.apache.felix:org.apache.felix.metatype:1.2.0, indexing...
net.sf.kxml:kxml2:2.2.2 is dependency of org.apache.felix:org.apache.felix.metatype:1.2.2, indexing...
net.sf.kxml:kxml2:2.2.2 is dependency of org.apache.felix:org.apache.felix.metatype:1.2.4, indexing...
net.sf.kxml:kxml2:2.2.2 is dependency of org.apache.felix:org.apache.felix.scr:2.0.14, indexing...
net.sf.kxml:kxml2:2.2.2 is dependency of org.apache.felix:org.apache.felix.scr:2.1.0, indexing...
net.sf.kxml:kxml2:2.2.2 is dependency of org.apache.felix:org.apache.felix.scr:2.1.2, indexing...
net.sf.kxml:kxml2:2.2.2 is dependency of org.apache.felix:org.apache.felix.scr:2.1.6, indexing...
net.sf.kxml:kxml2:2.2.2 is dependency of org.apache.felix:org.apache.felix.scr:2.1.8, indexing...
net.sf.kxml:kxml2:2.2.2 is dependency of org.apache.felix:org.apache.felix.scr:2.1.10, indexing...
net.sf.kxml:kxml2:2.2.2 is dependency of org.apache.felix:org.apache.felix.scr:2.1.12, indexing...
net.sf.kxml:kxml2:2.2.2 is dependency of org.apache.felix:org.apache.felix.scr:2.1.14, indexing...
net.sf.kxml:kxml2:2.2.2 is dependency of org.apache.felix:org.apache.felix.scr:2.1.16, indexing...
net.sf.kxml:kxml2:2.2.2 is dependency of org.apache.felix:org.apache.felix.bundlerepository:1.0.0, indexing...
net.sf.kxml:kxml2:2.2.2 is dependency of org.apache.felix:org.apache.felix.bundlerepository:1.0.2, indexing...
net.sf.kxml:kxml2:2.2.2 is dependency of org.apache.felix:org.apache.felix.bundlerepository:1.0.3, indexing...
net.sf.kxml:kxml2:2.2.2 is dependency of org.apache.felix:org.apache.felix.bundlerepository:1.2.0, indexing...
net.sf.kxml:kxml2:2.2.2 is dependency of org.apache.felix:org.apache.felix.bundlerepository:1.2.1, indexing...
net.sf.kxml:kxml2:2.2.2 is dependency of org.apache.felix:org.apache.felix.bundlerepository:1.4.0, indexing...
net.sf.kxml:kxml2:2.2.2 is dependency of org.apache.felix:org.apache.felix.bundlerepository:1.4.1, indexing...
net.sf.kxml:kxml2:2.2.2 is dependency of org.apache.felix:org.apache.felix.bundlerepository:1.4.2, indexing...
net.sf.kxml:kxml2:2.2.2 is dependency of org.apache.felix:org.apache.felix.bundlerepository:1.4.3, indexing...
net.sf.kxml:kxml2:2.2.2 is dependency of org.apache.felix:maven-obr-plugin:1.0.0, indexing...
net.sf.kxml:kxml2:2.2.2 is dependency of org.apache.felix:maven-obr-plugin:1.2.0, indexing...
