org.json:json:20070829 is dependency of org.apache.felix:org.apache.felix.webconsole:4.2.0, indexing...
org.json:json:20070829 indexed.
org.json:json:20070829 is dependency of org.apache.felix:org.apache.felix.dependencymanager.annotation:3.0.0, indexing...
org.json:json:20070829 is dependency of org.apache.felix:org.apache.felix.dependencymanager.annotation:3.1.0, indexing...
org.json:json:20070829 is dependency of org.apache.felix:org.apache.felix.dependencymanager.annotation:3.2.0, indexing...
org.json:json:20070829 is dependency of org.apache.felix:org.apache.felix.webconsole.plugins.useradmin:1.0.0, indexing...
org.json:json:20070829 is dependency of org.apache.felix:org.apache.felix.webconsole.plugins.useradmin:1.0.2, indexing...
org.json:json:20070829 is dependency of org.apache.felix:org.apache.felix.dependencymanager.runtime:3.0.0, indexing...
org.json:json:20070829 is dependency of org.apache.felix:org.apache.felix.dependencymanager.runtime:3.1.0, indexing...
org.json:json:20070829 is dependency of org.apache.felix:org.apache.felix.dependencymanager.runtime:3.2.0, indexing...
org.json:json:20070829 is dependency of org.apache.felix:org.apache.felix.webconsole.plugins.subsystems:0.1.0, indexing...
org.json:json:20070829 is dependency of org.apache.felix:org.apache.felix.webconsole:4.0.0, indexing...
org.json:json:20070829 is dependency of org.apache.felix:org.apache.felix.ipojo.webconsole:1.7.0, indexing...
org.json:json:20070829 is dependency of org.apache.felix:org.apache.felix.webconsole.plugins.packageadmin:1.0.2, indexing...
org.json:json:20070829 is dependency of org.apache.felix:org.apache.felix.webconsole:1.0.0, indexing...
org.json:json:20070829 is dependency of org.apache.felix:org.apache.felix.webconsole.plugins.ds:2.0.0, indexing...
org.json:json:20070829 is dependency of org.apache.felix:org.apache.felix.webconsole.plugins.ds:2.0.2, indexing...
org.json:json:20070829 is dependency of org.apache.felix:org.apache.felix.webconsole:4.2.2, indexing...
org.json:json:20070829 is dependency of org.apache.felix:org.apache.felix.webconsole:4.2.4, indexing...
org.json:json:20070829 is dependency of org.apache.felix:org.apache.felix.webconsole:4.2.6, indexing...
org.json:json:20070829 is dependency of org.apache.felix:org.apache.felix.webconsole:4.2.8, indexing...
org.json:json:20070829 is dependency of org.apache.felix:org.apache.felix.webconsole:4.2.10, indexing...
org.json:json:20070829 is dependency of org.apache.felix:org.apache.felix.webconsole:4.2.12, indexing...
org.json:json:20070829 is dependency of org.apache.felix:org.apache.felix.webconsole:4.2.14, indexing...
org.json:json:20070829 is dependency of org.apache.felix:org.apache.felix.webconsole:4.2.16, indexing...
org.json:json:20070829 is dependency of org.apache.felix:org.apache.felix.webconsole:4.2.18, indexing...
org.json:json:20080701 is dependency of de.twentyeleven.skysail:org.json-osgi:20080701, indexing...
org.json:json:20080701 indexed.
